userId,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,slot9,slot10
1,4,4,4,4,4,1,1,1,1,1
2,12,12,12,9,9,9,9,9,5,5
3,6,6,6,6,6,6,3,3,3,3
4,7,7,7,7,7,7,7,7,7,4
5,10,10,13,13,13,13,13,13,13,13
6,13,7,7,7,7,7,7,7,7,7
7,10,10,11,11,11,11,12,12,12,12
8,12,12,12,9,9,9,9,6,6,6
9,2,2,2,2,3,3,3,6,6,6
10,15,15,15,18,15,15,18,15,12,18
11,12,12,12,12,6,6,6,6,6,6
12,14,14,14,14,14,14,14,10,10,10
13,12,12,12,12,12,12,12,12,12,12
14,11,9,9,9,9,9,6,6,6,6
15,13,13,13,13,13,10,10,10,10,10
16,14,14,14,14,14,13,13,13,13,16
17,11,11,11,15,15,15,15,15,15,15
18,8,8,8,8,9,9,9,9,9,9
19,13,13,13,13,13,13,13,13,13,10
20,5,5,5,5,2,2,2,2,1,1
21,11,7,7,6,6,3,3,1,1,3
22,14,9,6,3,6,11,13,7,2,3
23,8,7,10,15,15,12,11,7,7,6
24,12,12,12,8,7,4,3,3,6,9
25,14,7,1,1,8,14,9,6,6,12
26,7,16,7,2,3,12,15,6,3,6
27,3,3,6,18,12,6,3,8,13,13
28,1,10,15,9,3,6,12,12,6,3
29,6,7,7,11,12,12,15,16,13,15
30,1,7,8,12,15,12,8,1,1,3
31,17,7,1,1,5,12,12,6,6,3
32,6,11,10,4,1,7,13,10,5,3
33,7,8,12,18,15,10,7,8,6,6
34,7,1,2,9,18,12,6,3,5,10
35,7,9,6,6,3,4,7,10,15,12
36,13,10,9,6,3,3,1,7,11,12
37,3,9,14,8,2,4,13,10,1,1
38,10,4,3,9,15,12,6,6,12,15
39,1,1,8,14,8,3,6,12,12,6
40,4,1,7,13,7,1,1,10,10,1
41,13,7,6,6,3,3,4,7,11,15
42,9,1,1,4,11,18,12,6,3,1
43,2,4,10,10,1,1,7,13,7,1
44,14,12,12,6,4,1,2,3,6,6
45,13,13,15,12,12,11,7,7,9,6
46,13,7,1,1,7,13,7,2,5,14
47,6,12,12,6,3,5,10,13,7,1
48,7,14,12,6,3,6,12,15,4,1
49,7,7,14,15,12,12,5,1,1,3
50,3,6,18,9,3,3,11,11,4,2
51,13,8,6,6,3,2,7,7,12,15
52,12,6,3,6,12,15,8,1,1,7
53,12,11,7,4,3,3,6,3,7,7
54,5,12,12,6,3,6,12,15,8,1
55,9,15,12,6,6,12,12,6,3,9
56,15,12,6,3,12,18,6,3,6,12
57,4,9,12,15,12,7,1,2,3,6
58,11,6,3,6,12,12,6,2,7,13
59,13,7,1,4,11,12,6,3,6,12
60,6,15,10,1,1,7,13,8,2,3
61,12,9,1,1,7,15,12,6,3,6
62,12,8,1,2,3,6,12,15,14,7
63,13,15,12,12,9,1,1,3,6,6
64,3,2,7,8,12,18,15,11,7,4
65,13,13,15,12,12,12,7,7,9,6
66,13,7,1,1,7,7,1,1,7,13
67,1,5,12,12,15,14,7,8,6,6
68,1,1,6,6,12,12,13,13,15,12
69,15,12,6,3,6,8,13,7,4,3
70,2,9,12,12,6,3,1,7,10,15
71,1,7,16,7,1,1,8,14,9,3
72,11,7,8,9,6,6,2,1,2,3
73,13,13,9,6,6,3,2,7,8,12
74,11,6,3,6,12,12,6,3,8,13
75,18,14,7,8,6,6,3,2,1,4
76,1,2,6,12,12,9,2,1,7,10
77,11,3,3,12,18,12,6,6,12,12
78,7,8,6,6,6,2,1,2,3,3
79,1,7,10,15,12,6,3,3,7,16
80,14,8,3,6,12,12,6,3,6,15
81,13,13,4,3,6,12,12,6,3,6
82,2,8,13,7,1,1,7,13,4,2
83,15,12,6,3,2,7,7,15,12,12
84,14,11,6,3,6,12,12,6,2,7
85,6,8,13,7,8,3,6,6,12,15
86,13,13,1,1,8,14,9,3,6,12
87,9,6,3,6,8,10,13,11,6,6
88,13,14,9,6,6,6,8,13,13,9
89,10,6,3,6,6,15,13,7,4,3
90,6,2,1,2,6,6,12,15,13,7
91,7,13,15,12,12,9,4,1,2,3
92,6,3,6,12,12,6,6,12,12,6
93,7,1,3,3,6,6,4,7,11,15
94,1,2,3,6,3,1,1,5,6,6
95,2,9,12,12,6,3,5,10,13,7
96,10,14,9,6,3,6,12,14,7,1
97,8,7,8,6,6,6,4,1,2,3
98,1,2,3,6,6,8,7,14,15,12
99,1,8,15,12,6,3,6,12,12,4
100,10,13,14,12,12,9,4,1,2,3
